"","p_current_age","raw_score","pos_raw_score"
"1",68,-4.4,0.6
"2",68,-4.4,0.6
"3",61,-4.4,0.6
"4",61,-4.4,0.6
"5",62,-4.39,0.61
"6",62,-4.39,0.61
"7",59,-4.35,0.65
"8",58,-4.35,0.65
"9",58,-4.35,0.65
"10",58,-4.35,0.65
"11",59,-4.35,0.65
"12",54,-4.24,0.76
"13",54,-4.24,0.76
"14",53,-4.21,0.79
"15",53,-4.21,0.79
"16",53,-4.21,0.79
"17",53,-4.21,0.79
"18",53,-4.21,0.79
"19",69,-4.18,0.82
"20",69,-4.18,0.82
"21",55,-4.17,0.83
"22",55,-4.17,0.83
"23",49,-4.09,0.91
"24",49,-4.09,0.91
"25",49,-4.09,0.91
"26",47,-4.01,0.99
"27",47,-4.01,0.99
"28",47,-4.01,0.99
"29",44,-3.91,1.09
"30",44,-3.91,1.09
"31",44,-3.91,1.09
"32",43,-3.9,1.1
"33",43,-3.9,1.1
"34",41,-3.79,1.21
"35",41,-3.79,1.21
"36",41,-3.79,1.21
"37",40,-3.75,1.25
"38",40,-3.75,1.25
"39",37,-3.65,1.35
"40",37,-3.65,1.35
"41",35,-3.52,1.48
"42",35,-3.52,1.48
"43",34,-3.5,1.5
"44",34,-3.5,1.5
"45",33,-3.41,1.59
"46",33,-3.41,1.59
"47",32,-3.35,1.65
"48",32,-3.35,1.65
"49",32,-3.35,1.65
"50",31,-3.29,1.71
"51",31,-3.29,1.71
"52",31,-3.29,1.71
"53",31,-3.29,1.71
"54",31,-3.29,1.71
"55",30,-3.23,1.77
"56",30,-3.23,1.77
"57",30,-3.23,1.77
"58",30,-3.23,1.77
"59",29,-3.17,1.83
"60",29,-3.17,1.83
"61",29,-3.17,1.83
"62",29,-3.17,1.83
"63",29,-3.17,1.83
"64",28,-3.1,1.9
"65",28,-3.1,1.9
"66",28,-3.1,1.9
"67",28,-3.1,1.9
"68",28,-3.1,1.9
"69",25,-2.86,2.14
"70",25,-2.86,2.14
"71",25,-2.86,2.14
"72",25,-2.86,2.14
"73",24,-2.81,2.19
"74",24,-2.81,2.19
"75",23,-2.71,2.29
"76",23,-2.71,2.29
"77",21,-2.48,2.52
"78",21,-2.48,2.52
"79",21,-2.48,2.52
"80",20,-2.3,2.7
"81",20,-2.3,2.7
"82",20,-2.3,2.7
"83",20,-2.3,2.7
"84",19,-2.07,2.93
"85",19,-2.07,2.93
"86",19,-2.07,2.93
